case_id,category,syntax_pass,coverage_score,exact_match_score,missing_must_contain,missing_must_contain_any,output_file,error
spice_001,dc_resistive,0,0.0,0.0,V1 in 0 DC 10|R1 in out 1k|R2 out 0 2k|.op|.end,".print,.plot,.meas",runs/P0/spice_001.cir,
spice_002,tran_rc,0,0.1667,0.0,V1 in 0 PULSE(0 5|R1 in out 1k|C1 out 0 10n|.tran 1n 1u,".print,.plot,.meas",runs/P0/spice_002.cir,
spice_003,tran_rlc,0,0.0,0.0,V1 in 0 SIN(0 1 1k)|R1 in n1 10|L1 n1 n2 10m|C1 n2 0 1u|.tran|.end,".print,.plot,.meas",runs/P0/spice_003.cir,
spice_004,ac_lowpass,0,0.0,0.0,V1 in 0 AC 1|R1 in out 1k|C1 out 0 100n|.ac dec 100 10 1Meg|.end,".print,.plot,.meas",runs/P0/spice_004.cir,
spice_005,ac_highpass,0,0.0,0.0,V1 in 0 AC 1|C1 in out 10n|R1 out 0 1k|.ac dec 100 10 1Meg|.end,".print,.plot,.meas",runs/P0/spice_005.cir,
spice_006,ac_bandpass_rlc,0,0.0,0.0,V1 in 0 AC 1|R1 in n1 50|L1 n1 out 10m|C1 out 0 10n|.ac dec 200 10 1Meg|.end,".print,.plot,.meas",runs/P0/spice_006.cir,
spice_007,diode_rectifier_halfwave,0,0.0,0.0,V1 in 0 SIN(0 10 60)|D1 in out DIODE1|Rload out 0 1k|.model DIODE1 D|.tran 10u 0.1|.end,".print,.plot,.meas",runs/P0/spice_007.cir,
spice_008,diode_clipper,0,0.0,0.0,V1 in 0 SIN(0 2 1k)|R1 in out 1k|D1 out 0 DCLIP|D2 0 out DCLIP|.model DCLIP D|.tran 1u 5m|.end,".print,.plot,.meas",runs/P0/spice_008.cir,
spice_009,zener_regulator,0,0.125,0.0,V1 in 0 DC 12|R1 in out 220|DZ out 0 ZD5V6|Rload out 0 1k|.model ZD5V6 D|.op,".print,.plot,.meas",runs/P0/spice_009.cir,
spice_010,bjt_op,0,0.0,0.0,VCC vcc 0 DC 12|Rc vcc out 4.7k|Re emit 0 1k|Rb1 vcc base 100k|Rb2 base 0 20k|Q1 out base emit NPN1|.model NPN1 NPN|.op|.end,".print,.plot,.meas",runs/P0/spice_010.cir,
spice_011,bjt_ac_gain,0,0.0,0.0,VCC vcc 0 DC 12|Vin vin 0 AC 1|Cin vin base 1u|Rc vcc out 2.2k|Re emit 0 470|Q1 out base emit|.ac dec 100 10 1Meg|.end,".print,.plot,.meas",runs/P0/spice_011.cir,
spice_012,mosfet_inverter_tran,0,0.0,0.0,VDD vdd 0 DC 1.8|VIN in 0 PULSE(0 1.8|M1 out in vdd vdd PMOS1|M2 out in 0 0 NMOS1|.model PMOS1 PMOS|.model NMOS1 NMOS|.tran 1n 200n|.end,".print,.plot,.meas",runs/P0/spice_012.cir,
spice_013,mosfet_dc_transfer,0,0.25,0.0,VDD vdd 0 DC 5|RD vdd out 1k|VIN in 0 DC 0|M1 out in 0 0 NMOS1|.dc VIN 0 5 0.1,".print,.plot,.meas",runs/P0/spice_013.cir,
spice_014,subckt_use,0,0.1111,0.0,.subckt DIV in out gnd|R1 in out 1k|R2 out gnd 1k|.ends|V1 vin 0 DC 10|X1 vin vout 0 DIV|.end,".print,.plot,.meas",runs/P0/spice_014.cir,
spice_015,current_source,0,0.2,0.0,I1 in out DC 2m|R1 out 0 1k|.op,".print,.plot,.meas",runs/P0/spice_015.cir,
spice_016,dependent_source_vcv,0,0.0,0.0,V1 in 0 DC 1|E1 out 0 in 0 10|Rload out 0 10k|.op|.end,".print,.plot,.meas",runs/P0/spice_016.cir,
spice_017,tran_rl,0,0.0,0.0,V1 in 0 PULSE(0 5|R1 in out 10|L1 out 0 1m|.tran 1n 5u|.end,".print,.plot,.meas",runs/P0/spice_017.cir,
spice_018,tran_diode_rc,0,0.125,0.0,V1 in 0 SIN(0 5 1k)|D1 in out DENV|C1 out 0 1u|R1 out 0 10k|.model DENV D|.tran 1u 10m,".print,.plot,.meas",runs/P0/spice_018.cir,
spice_019,ac_two_stage,0,0.0,0.0,V1 in 0 AC 1|R1 in n1 1k|C1 n1 0 100n|R2 n1 out 1k|C2 out 0 100n|.ac dec 100 10 1Meg|.end,".print,.plot,.meas",runs/P0/spice_019.cir,
spice_020,mosfet_current_mirror,0,0.0,0.0,VDD vdd 0 DC 5|Rref vdd bias 10k|M1 bias bias 0 0 NMOS1|M2 out bias 0 0 NMOS1|.model NMOS1 NMOS|Rload vdd out 10k|.op|.end,".print,.plot,.meas",runs/P0/spice_020.cir,
